,artist_name,track_name,track_id,popularity
117,Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST,75
118,Mitski,Nobody,2P5yIMu2DNeMXTyOANKS6k,78
119,Gucci Mane,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,78
120,Tyler Childers,Charleston Girl (Live),3R6yNicsZrWF8ybl02imcB,71
121,03 Greedo,Substance,0MoQI1EZGSHLhd5UBdxPol,76
122,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,84
123,Tom Rosenthal,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,81
124,Mitski,Me and My Husband,3pANfZVFdtuVnJsE6xa5Ox,77
125,Bad Bunny,MIA,3gE4eQH3K83Sght0ZLvuBK,80
126,Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,74
127,Lil Yachty,NBAYOUNGBOAT,6K2anECyrckidwf5wxS78Q,73
128,Post Malone,Stay,4H7WNRErSbONkM06blBoGc,77
129,Jordan Davis,Slow Dance In A Parking Lot,6MBUUSIWCzaXW4q58Ktrv9,72
130,Jordan Davis,Take It From Me,3dCZm5HrG0jIXAHfNkg2H0,72
131,Summer Walker,Karma,2Fyjjpg03fn7n5cj0Qm380,76
132,21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,75
133,Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,78
134,Camila Cabello,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,81
135,Lonely God,Marlboro Nights,755inykyaG4w22GWAsA3MX,77
136,Morgan Wallen,Talkin' Tennessee,7szRiHu6r91o2Po9GTPN4c,71
137,Jordan Davis,Singles You Up,4LiMQ6G9n84rDUBs9wtwz6,72
138,Key Glock,Gang Shit No Lame Shit,6gbiTbclnHlmSIPfmF2zEc,73
139,XXXTENTACION,changes,7AFASza1mXqntmGtbxXprO,79
140,Lauren Daigle,Rescue,7r9kOxiNDnkAg5QKqtyjVk,75
141,Sonder,One Night Only,74fQgHleHZ4V7Gm1XYcGkj,73
142,AJR,Burn The House Down,0TkJIyL69RAUIbNwGub6uR,70
143,Anuel AA,Amanece,1LiN0Z98FkR1t0m8KmLcAH,83
144,Travis Scott,SKELETONS,6NMtzpDQBTOfJwMzgMX0zl,75
145,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,74
146,Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,76
147,Drake,Finesse,2WP8G2pdddDmnh1xbfKBOI,76
148,Dan + Shay,Speechless,3GJ4hzg4lrGwU51Y3VARbF,73
149,Summer Walker,Session 32,2ktg2oZDyFAX3iY1QNkXl5,75
150,Doja Cat,Wine Pon You (feat. Konshens),2s4AcE9n80mSHl87lp4gIm,78
151,Beach Bunny,Sports,77G0k1La0c5Dw8bAFANcyp,74
152,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,75
153,Scotty McCreery,Five More Minutes,3qTmB5HxP9ilJaiM6B1yuk,72
154,Kina,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,80
155,Luke Combs,Dive - Recorded At Sound Stage Nashville,2VWBdFsDJVGlRTdz4PvYwy,72
156,BlocBoy JB,Look Alive (feat. Drake),6HJ34Zyw6bg8yGm28AxLXf,75
157,grandson,Blood // Water,7clyJIrLkEbXUDwj1tC9zz,70
158,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,76
