,track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
502,48Qes8IUekSZpcNDQgYzUX,True Blue,boygenius,the record,72,296333,True,0.47,0.79,7,-7.718,1,0.0402,0.262,0.00331,0.178,0.368,146.203,4
503,6FAsJDkg4y5JSWP9ZMKlDj,You,Miley Cyrus,Endless Summer Vacation,75,179426,False,0.625,0.568,11,-5.663,1,0.0324,0.288,0.0,0.674,0.348,85.545,3
504,1QpM1kB7sggMOBuWUNUnfg,Negro Como La Pantera,Chino Pacas,Negro Como La Pantera,76,129953,True,0.679,0.785,1,-6.436,1,0.0364,0.0802,0.0,0.127,0.819,91.043,3
505,5NcLyVjUgG0yfwHgr5t81w,MOONLIGHT SUNRISE,TWICE,MOONLIGHT SUNRISE,78,180320,False,0.749,0.781,1,-3.265,1,0.0578,0.392,2.12e-06,0.086,0.606,125.09,4
506,7JsPPH6biDDMZdNFhKXsuX,Beautiful Love - Free Fire,Justin Bieber,Summer Vibes 2023,0,207837,False,0.797,0.595,4,-7.482,0,0.0465,0.0447,1.53e-06,0.108,0.537,110.985,4
507,2Tzmhv6ONBv2lULdPDNwUK,TRIP TO THE HOOD,Lil Mabu,TRIP TO THE HOOD,72,106703,True,0.711,0.517,1,-6.235,1,0.0911,0.00372,0.0,0.0716,0.672,80.94,4
508,1eYafSv4c2aFNf98hSFHX0,The Hills of Aberfeldy,Ed Sheeran,- (Deluxe),73,195083,False,0.436,0.19,7,-7.693,1,0.0303,0.872,0.0,0.0971,0.326,79.571,4
509,7cd0hVCgxeHA08F3hmPeEZ,Beautiful Love - Free Fire,Justin Bieber,Morning Vibes 2023,0,207837,False,0.797,0.595,4,-7.482,0,0.0465,0.0447,1.53e-06,0.108,0.537,110.985,4
510,3qwxZ8ygOYSWE790KcfgU1,Sycamore,Ed Sheeran,- (Deluxe),73,170075,False,0.592,0.32,0,-8.069,1,0.0331,0.727,0.0,0.259,0.35,134.085,3
511,5w7IRpQTMNA2EuWrHDmClX,Blame On Me,Jack Harlow,Jackman.,73,241848,False,0.805,0.387,5,-8.724,0,0.512,0.437,1.67e-06,0.115,0.435,95.988,4
512,693xmBAOD4xwkS4W71W1Jn,Emily I'm Sorry,boygenius,the record,73,214866,True,0.581,0.38,11,-12.162,1,0.0473,0.897,0.175,0.104,0.489,135.939,4
